Date,OSHKOSH,STOCKBRIDGE,FOND DU LAC,MENASHA,Average,POYGAN*,NEENAH TAINTER GATES,NEENAH NEEDLE GATES,MENASHA TAINTER GATES
01-Dec-2020,2.53,2.45,2.66,2.52,2.54,2.85,5.00,0.00,4.00
02-Dec-2020,2.51,2.45,2.59,2.53,2.52,2.83,5.00,0.00,4.00
03-Dec-2020,2.51,2.42,2.60,2.51,2.51,2.78, , , 
04-Dec-2020,2.50,2.36,2.63,2.42,2.48,2.81, , , 
05-Dec-2020,2.45,2.34,2.58,2.42,2.45,2.79, , , 
06-Dec-2020,2.43,2.31,2.59,2.37,2.43,2.74, , , 
